address	balance	code_hash	data_hash	jetton	last_transaction_lt	owner	owner_friendly	wallet_friendly
0:49B56F91D386BD7759C1D5E363DBA183F15742AAD6D0420B0BF23A89F6F5FFE6	9311051303158291	nbIhmy8qr5opEioRY/o0LHTdpMh5J6myPvt4nCiNuFc=	5iLka0tgHOTrycNK3WUuu24BpGKCO/MK17A04YZ301U=	0:BE387C6123DAF9A2329FE9030B163850ACAA1AC0DD6D8611C50AF22620D85F2B	51107620000001	0:51B18CD56C3E6699890D26A928B98819CDC3A37EE975F2EB57A3B2D7DB9D9026	UQBRsYzVbD5mmYkNJqkouYgZzcOjful18utXo7LX252QJgNR	EQBJtW-R04a9d1nB1eNj26GD8VdCqtbQQgsL8jqJ9vX_5iRr
0:46D150CC969EBF5EB2B5BE1F77B4FA9EF8A900270B1BBD15E43AF46C6765653A	8746306419977352	nbIhmy8qr5opEioRY/o0LHTdpMh5J6myPvt4nCiNuFc=	3LQF+bZ6rKi0vARRaeJpK6aztVYpCwG9Y/tellKWlB0=	0:BE387C6123DAF9A2329FE9030B163850ACAA1AC0DD6D8611C50AF22620D85F2B	51507870000001	0:C8254D253E2B50A4802DE0D495A224A15A7478DC3DB4085F0FCF62CA9F18020C	UQDIJU0lPitQpIAt4NSVoiShWnR43D20CF8Pz2LKnxgCDGrH	EQBG0VDMlp6_XrK1vh93tPqe-KkAJwsbvRXkOvRsZ2VlOs1u
0:DB35910E36B35D3853E97D7A1BF8D48F3A53154BB9011B3F36C296AE3E3E91CF	8291052204879101	nbIhmy8qr5opEioRY/o0LHTdpMh5J6myPvt4nCiNuFc=	pwqfZAcdp0J0aNgPP5Agz2pYKnW7tkQlgMD9ogfHJFQ=	0:BE387C6123DAF9A2329FE9030B163850ACAA1AC0DD6D8611C50AF22620D85F2B	51787272000001	0:7FC989C8BD208ED97D336B20C5308610F4F552C4AD038E9B381E7130E0DE235B	UQB_yYnIvSCO2X0zayDFMIYQ9PVSxK0Djps4HnEw4N4jW0w8	EQDbNZEONrNdOFPpfXob-NSPOlMVS7kBGz82wpauPj6Rz_h7
0:1946CFC0A16169A23924FC25A673CFBBDB46807A9AD68B33E6293E3E14D50FFA	8040503450531494	nbIhmy8qr5opEioRY/o0LHTdpMh5J6myPvt4nCiNuFc=	tuy8k0JmVLP5bG8jGRrtV7zY9/rofSI/Q2Zgb7zONgQ=	0:BE387C6123DAF9A2329FE9030B163850ACAA1AC0DD6D8611C50AF22620D85F2B	51391427000003	0:76C273EC77CABC70448740E07521528A67D472B5A79041CEF59E2D3F72A8DA19	UQB2wnPsd8q8cESHQOB1IVKKZ9RytaeQQc71ni0_cqjaGRyh	EQAZRs_AoWFpojkk_CWmc8-720aAeprWizPmKT4-FNUP-jMo
0:39438046E22A1200AE28AE8F0B74149F73156C3DED03C4916E031E98324906E6	6581516175360912	nbIhmy8qr5opEioRY/o0LHTdpMh5J6myPvt4nCiNuFc=	KMBcJE89fMmTnycAuaESFhhQaeRQ2BlQfOsStlNJcI0=	0:BE387C6123DAF9A2329FE9030B163850ACAA1AC0DD6D8611C50AF22620D85F2B	51914041000003	0:ED686AF18AB00399D6F0D57BFD76CDD1CD8DD6EE468FDFBA8EEBAB498A2F0C5E	UQDtaGrxirADmdbw1Xv9ds3RzY3W7kaP37qO66tJii8MXnLW	EQA5Q4BG4ioSAK4oro8LdBSfcxVsPe0DxJFuAx6YMkkG5kjR
0:41C84B3420F0F34A31D755CBE06A974896A36BE8663B7F0B51C67C74DD835CAE	6536778699462622	nbIhmy8qr5opEioRY/o0LHTdpMh5J6myPvt4nCiNuFc=	IlLIT4MHEzkBcxf43gysvIwIX6QRbLGiLCIZ5vkO4d8=	0:BE387C6123DAF9A2329FE9030B163850ACAA1AC0DD6D8611C50AF22620D85F2B	51686469000001	0:D4F558FCF1136FCA26F99093A270924F74E343968D2C84B3644CC5306F2ED10F	UQDU9Vj88RNvyib5kJOicJJPdONDlo0shLNkTMUwby7RD5XZ	EQBByEs0IPDzSjHXVcvgapdIlqNr6GY7fwtRxnx03YNcrnL8
0:D6325866FE5EC069B8B54D67B672CA3F47F6EB23C9E1F669C48A2CF1FE5A6894	6335389444608388	nbIhmy8qr5opEioRY/o0LHTdpMh5J6myPvt4nCiNuFc=	JdODheEnMLrj1MjSBteYoCCpuAt4hf2bm9m0KVd0vsQ=	0:BE387C6123DAF9A2329FE9030B163850ACAA1AC0DD6D8611C50AF22620D85F2B	51153784000001	0:DDCE89BAB65EA6299A9C37FC526F22651EFA4389ABCBAE668758D143D2DE4BBC	UQDdzom6tl6mKZqcN_xSbyJlHvpDiavLrmaHWNFD0t5LvFrQ	EQDWMlhm_l7Aabi1TWe2cso_R_brI8nh9mnEiizx_lpolOkc
0:120F16B7F03A45F3154FCA4967F51B0C6F2C27806D336DF89CD53EFA322885EE	6312388547163692	nbIhmy8qr5opEioRY/o0LHTdpMh5J6myPvt4nCiNuFc=	Ec2YbCDrVNAX4EXa5eX38k8NrCAAkT608fj/gOh3/rc=	0:BE387C6123DAF9A2329FE9030B163850ACAA1AC0DD6D8611C50AF22620D85F2B	51437359000001	0:11DFBFF01C51B670CB9EBE29D742668E78D7E023463B2A504FE6972C8AC530D0	UQAR37_wHFG2cMuevinXQmaOeNfgI0Y7KlBP5pcsisUw0Pgb	EQASDxa38DpF8xVPykln9RsMbywngG0zbfic1T76MiiF7jvn
0:86AAD1CA9F2686FEF0215421A49222653B8B2048B9BFC26948087B7BDBE9813B	5653866397466818	nbIhmy8qr5opEioRY/o0LHTdpMh5J6myPvt4nCiNuFc=	+m4gnFBlImEDFcV6sQlQ/HsIrqO5iIBMlq2eFg3PoPw=	0:BE387C6123DAF9A2329FE9030B163850ACAA1AC0DD6D8611C50AF22620D85F2B	51725331000001	0:B272181FE2182A7B331FE4454AEE961039D09AB449D9442E7A5E539F34EE884B	UQCychgf4hgqezMf5EVK7pYQOdCatEnZRC56XlOfNO6IS-K2	EQCGqtHKnyaG_vAhVCGkkiJlO4sgSLm_wmlICHt72-mBOxOf
0:A5E33B2CAA2654E92F6D1627DAA48CC99BC7A41B404F93DE2E049E6E41768971	5488263959836665	nbIhmy8qr5opEioRY/o0LHTdpMh5J6myPvt4nCiNuFc=	c+AFUYJkmKaaGj+dEVgFdC7V3CuEiTQRHLydgGgzXjQ=	0:BE387C6123DAF9A2329FE9030B163850ACAA1AC0DD6D8611C50AF22620D85F2B	51726343000001	0:DF9B023C87520078398D744E57A8E4A807C703BAA86E1EACC38D0BE18749AC99	UQDfmwI8h1IAeDmNdE5XqOSoB8cDuqhuHqzDjQvhh0msmfw9	EQCl4zssqiZU6S9tFifapIzJm8ekG0BPk94uBJ5uQXaJcXrZ
