address	balance	code_hash	data_hash	jetton	last_transaction_lt	owner	owner_friendly	wallet_friendly
0:1946CFC0A16169A23924FC25A673CFBBDB46807A9AD68B33E6293E3E14D50FFA	8040503450531494	nbIhmy8qr5opEioRY/o0LHTdpMh5J6myPvt4nCiNuFc=	tuy8k0JmVLP5bG8jGRrtV7zY9/rofSI/Q2Zgb7zONgQ=	0:BE387C6123DAF9A2329FE9030B163850ACAA1AC0DD6D8611C50AF22620D85F2B	51391427000003	0:76C273EC77CABC70448740E07521528A67D472B5A79041CEF59E2D3F72A8DA19	UQB2wnPsd8q8cESHQOB1IVKKZ9RytaeQQc71ni0_cqjaGRyh	EQAZRs_AoWFpojkk_CWmc8-720aAeprWizPmKT4-FNUP-jMo
0:67CD3E47C4F91D756E146325B43C8DD4429344610E413E9026FB2897D54E0D92	7833568341623098	nbIhmy8qr5opEioRY/o0LHTdpMh5J6myPvt4nCiNuFc=	Dchr1eN6MGgIkvgqVclm6F0BRVFswraYS+ey3FCxjdM=	0:BE387C6123DAF9A2329FE9030B163850ACAA1AC0DD6D8611C50AF22620D85F2B	52080415000001	0:710F18B4FD5C7E864FC162F9FA954CE90863C545CFE588ED8A30E41A32A448F3	UQBxDxi0_Vx-hk_BYvn6lUzpCGPFRc_liO2KMOQaMqRI82Iz	EQBnzT5HxPkddW4UYyW0PI3UQpNEYQ5BPpAm-yiX1U4NkoHb
0:D6325866FE5EC069B8B54D67B672CA3F47F6EB23C9E1F669C48A2CF1FE5A6894	6335389444608388	nbIhmy8qr5opEioRY/o0LHTdpMh5J6myPvt4nCiNuFc=	JdODheEnMLrj1MjSBteYoCCpuAt4hf2bm9m0KVd0vsQ=	0:BE387C6123DAF9A2329FE9030B163850ACAA1AC0DD6D8611C50AF22620D85F2B	51153784000001	0:DDCE89BAB65EA6299A9C37FC526F22651EFA4389ABCBAE668758D143D2DE4BBC	UQDdzom6tl6mKZqcN_xSbyJlHvpDiavLrmaHWNFD0t5LvFrQ	EQDWMlhm_l7Aabi1TWe2cso_R_brI8nh9mnEiizx_lpolOkc
0:120F16B7F03A45F3154FCA4967F51B0C6F2C27806D336DF89CD53EFA322885EE	6312388547163692	nbIhmy8qr5opEioRY/o0LHTdpMh5J6myPvt4nCiNuFc=	Ec2YbCDrVNAX4EXa5eX38k8NrCAAkT608fj/gOh3/rc=	0:BE387C6123DAF9A2329FE9030B163850ACAA1AC0DD6D8611C50AF22620D85F2B	51437359000001	0:11DFBFF01C51B670CB9EBE29D742668E78D7E023463B2A504FE6972C8AC530D0	UQAR37_wHFG2cMuevinXQmaOeNfgI0Y7KlBP5pcsisUw0Pgb	EQASDxa38DpF8xVPykln9RsMbywngG0zbfic1T76MiiF7jvn
0:86AAD1CA9F2686FEF0215421A49222653B8B2048B9BFC26948087B7BDBE9813B	5653866397466818	nbIhmy8qr5opEioRY/o0LHTdpMh5J6myPvt4nCiNuFc=	+m4gnFBlImEDFcV6sQlQ/HsIrqO5iIBMlq2eFg3PoPw=	0:BE387C6123DAF9A2329FE9030B163850ACAA1AC0DD6D8611C50AF22620D85F2B	51725331000001	0:B272181FE2182A7B331FE4454AEE961039D09AB449D9442E7A5E539F34EE884B	UQCychgf4hgqezMf5EVK7pYQOdCatEnZRC56XlOfNO6IS-K2	EQCGqtHKnyaG_vAhVCGkkiJlO4sgSLm_wmlICHt72-mBOxOf
0:532EDAD81C450DCFEFCF15BD7C8AACFA148C999382E69F2D5854BB9D528EB476	5533614267600664	nbIhmy8qr5opEioRY/o0LHTdpMh5J6myPvt4nCiNuFc=	40LDolSyD+1dt76oqw71+A4i8SyDuK5q68bPFOUoxlU=	0:BE387C6123DAF9A2329FE9030B163850ACAA1AC0DD6D8611C50AF22620D85F2B	51959259000001	0:2EAD65B4ADFF86DEE2510BB438C7519C26D53D9B0A45DA04034EA8698FC31D66	UQAurWW0rf-G3uJRC7Q4x1GcJtU9mwpF2gQDTqhpj8MdZgmE	EQBTLtrYHEUNz-_PFb18iqz6FIyZk4Lmny1YVLudUo60dhib
0:A5E33B2CAA2654E92F6D1627DAA48CC99BC7A41B404F93DE2E049E6E41768971	5488263959836665	nbIhmy8qr5opEioRY/o0LHTdpMh5J6myPvt4nCiNuFc=	c+AFUYJkmKaaGj+dEVgFdC7V3CuEiTQRHLydgGgzXjQ=	0:BE387C6123DAF9A2329FE9030B163850ACAA1AC0DD6D8611C50AF22620D85F2B	51726343000001	0:DF9B023C87520078398D744E57A8E4A807C703BAA86E1EACC38D0BE18749AC99	UQDfmwI8h1IAeDmNdE5XqOSoB8cDuqhuHqzDjQvhh0msmfw9	EQCl4zssqiZU6S9tFifapIzJm8ekG0BPk94uBJ5uQXaJcXrZ
0:0C9710E261D6A1BF196B59DADB906EB0CDEE6DBA65B8A2CADE383BD717B48076	5339108188459293	nbIhmy8qr5opEioRY/o0LHTdpMh5J6myPvt4nCiNuFc=	G4SIVu9t8tT4bRZH4/p54Om4qsTr3i5PyoGJwjYzIUQ=	0:BE387C6123DAF9A2329FE9030B163850ACAA1AC0DD6D8611C50AF22620D85F2B	52056189000003	0:278A62CC46D18E100366EF13967429B57FB0500635392C456A61366A42148F7B	UQAnimLMRtGOEANm7xOWdCm1f7BQBjU5LEVqYTZqQhSPezdp	EQAMlxDiYdahvxlrWdrbkG6wze5tumW4osreODvXF7SAdk-f
0:D28E7520BFA583F5B6EE43D5556D0E57B5D870562263B91837641F40712234AA	5273674566326477	nbIhmy8qr5opEioRY/o0LHTdpMh5J6myPvt4nCiNuFc=	Ymnvq/PDo4Ax3Ng9h5zcqc+wTPXJYwzbk4coCRZoG08=	0:BE387C6123DAF9A2329FE9030B163850ACAA1AC0DD6D8611C50AF22620D85F2B	51213238000001	0:5DB750985ADC16E91FF445ADFC6926D4DDC9131D3022E40455B42BA910B9EB37	UQBdt1CYWtwW6R_0Ra38aSbU3ckTHTAi5ARVtCupELnrN1s9	EQDSjnUgv6WD9bbuQ9VVbQ5XtdhwViJjuRg3ZB9AcSI0qjC9
0:4B249DAFFB7497B50BD6A70D89991239141E5001BA550B72E67E47C56D24611A	5122712467970921	nbIhmy8qr5opEioRY/o0LHTdpMh5J6myPvt4nCiNuFc=	nBzYjU5RTANNELnEbvvO6uO25O4PIebH7AGjo6Qv4N0=	0:BE387C6123DAF9A2329FE9030B163850ACAA1AC0DD6D8611C50AF22620D85F2B	52079917000001	0:5894273E2C128919D93952491F59DE90A6032567005D21F81FB6C6109A86614F	UQBYlCc-LBKJGdk5UkkfWd6QpgMlZwBdIfgftsYQmoZhTyBQ	EQBLJJ2v-3SXtQvWpw2JmRI5FB5QAbpVC3LmfkfFbSRhGrcA
